year,facility,total emissions
2019,Sierra Pacific Industries - Centralia,58328
2014,J.R. Simplot Company - Othello,87301
2019,Tree Top - Prosser,15659
2012,Hidden Valley Landfill - Puyallup,7203
2019,Grays Harbor Energy Center - Elma,1337982
2014,Naval Base Kitsap - Bremerton,45961
2013,Northwest Hardwoods Inc. - Mount Vernon,12937
2020,Puget Sound Energy LDC - statewide,64322
2016,Gas Transmission Northwest Compressor Station 8 - Wallula,120374
2018,Goodrich Corporation - Spokane,43776
2020,River Road Generating Plant - Vancouver,635084
2014,Puget Sound Energy - Ferndale Generating Station - Ferndale,333193
2012,Packaging Corporation of America - Wallula,928399
2021,Lamb Weston - Warden,15407
2017,"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",126365
2015,REG Grays Harbor LLC - Hoquiam,13806
2019,The Boeing Company - Fabrication (Frederickson Site) - Puyallup,19016
2020,H.W. Hill Landfill Gas Power Plant - Roosevelt,1633
2019,Puget Sound Energy - Mint Farm Generating Station - Longview,759455
2014,Sierra Pacific Industries - Burlington - Mount Vernon,279566
2014,The Boeing Company - Auburn Site - Auburn,36691
2014,Sierra Pacific Industries - Centralia,45935
2014,Lamb Weston - Connell,38810
2021,Gas Transmission Northwest Compressor Station 7 - Starbuck,90620
2016,Naval Base Kitsap Bangor - Silverdale,20109
2019,Cowlitz County Headquarters Landfill - Castle Rock,253886
2017,Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,27951
2018,Northwest Pipeline Roosevelt C/S - Bickleton,13970
2017,Okanogan County Central Landfill - Okanogan,13567
2019,City of Ellensburg LDC - supplier,29657
2015,Cathcart Landfill - Snohomish,23520
2021,Puget Sound Energy - Fredonia Generating Station - Mount Vernon,250660
2014,The Boeing Company - Fabrication (Frederickson Site) - Puyallup,21442
2017,Star Forge LLC dba Jorgensen Forge - Tukwila,8739
2017,Spokane Waste to Energy Facility - Spokane,234104
2016,Grays Harbor Energy Center - Elma,1081729
2016,WestRock LLC - Longview,1661899
2016,Lamb Weston - Richland,35966
2017,Hampton Lumber Mills Washington Inc. - Randle,64712
2012,Kimberly-Clark Corporation - Everett,26746
2014,Puget Sound Energy - Frederickson Generating Station - Tacoma,24413
2014,SDS Lumber Company - Bingen,110009
2015,WaferTech LLC - Camas,165976
2018,Northwest Hardwoods Inc. - Centralia,9865
2014,Puget Sound Energy - Whitehorn Generating Station - Blaine,29472
2013,Sierra Pacific Industries - Aberdeen,244793
2019,"SEH America, Inc - Vancouver",11699
2012,Cowlitz County Headquarters Landfill - Castle Rock,121597
2012,"Interfor US, Inc. - Tacoma",12269
2015,Northwest Pipeline C/S - Sumner,50469
2018,"Vaagen Bros. Lumber, Inc. - Colville",45535
2012,Owens-Brockway Glass Container Inc Plant #2 - Kalama,10090
2014,"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",71069
2020,"Horse Heaven Cattle Feeders, Inc. - Sunnyside",9508
2021,"Solvay Chemicals, Inc. - Longview",53328
2017,Steelscape - Kalama,25217
2012,Puget Sound Energy - Mint Farm Generating Station - Longview,433875
2019,Port Townsend Paper Corporation - Port Townsend,583291
2016,Puget Sound Energy - Goldendale Generating Station - Goldendale,385284
2017,Roosevelt Regional Landfill - Roosevelt,208590
2019,Lamb Weston - Pasco,46270
2014,Northwest Pipeline Willard C/S - Cook,9442
2014,"Emerald Kalama Chemical, LLC - Kalama",68453
2012,U.S. Oil & Refining Co. - Tacoma,169581
2021,Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,186638
2021,"WestRock CP, LLC - Tacoma",1080789
2017,The Boeing Company: Boeing Plant 2 - Seattle,24064
2021,Puget Sound Energy - Frederickson Generating Station - Tacoma,41536
2016,bp Cherry Point Refinery - Blaine,2130008
2014,WaferTech LLC - Camas,189929
2013,NW Natural LDC - WA - statewide,7667
2017,"El Oro Cattle Feeders, LLC - Moses Lake",26281
2018,"Analog Devices, Inc. - Camas",12173
2019,Puget Sound Energy - Sumas Generating Station - Sumas,227714
2021,Darigold - Lynden,19186
2017,Bonneville Power Administration - WA Only - statewide,15069
2018,HollyFrontier Puget Sound Refinery LLC - Anacortes,1989609
2019,Boeing Commercial Airplanes - Everett,77572
2013,Northwest Hardwoods Inc. - Centralia,12987
2015,"Horse Heaven Cattle Feeders, Inc. - Sunnyside",11142
2017,Matheson - Anacortes,35843
2021,Fairchild AFB - Spokane Co.,12339
2019,Puget Sound Energy - Jackson Prairie Gas Storage - Chehalis,11177
2014,Grant County Landfill 1 - Ephrata,38613
2013,"Nucor Steel Seattle, Inc, - Seattle",128708
2021,Nippon Dynawave - Longview,1721330
2019,The Boeing Company - Auburn Site - Auburn,36795
2017,Avista Corporation LDC - WA - statewide,15615
2013,Cowlitz County Tennant Way Landfill - Longview,19709
2021,Washington State University - Pullman,62454
2016,Georgia-Pacific Consumer Operations LLC - Camas,583163
2017,CertainTeed Gypsum - Seattle,50452
2017,U.S. Department of Energy Hanford Site - Richland,14744
2018,Northwest Hardwoods Inc. - Longview,15521
2012,Sonoco Products - Sumner,10342
2021,Puget Sound Energy LDC - statewide,64596
2013,Packaging Corporation of America - Wallula,832636
2017,Puget Sound Energy - Ferndale Generating Station - Ferndale,350887
2013,Goodrich Corporation - Spokane,34440
2018,Star Forge LLC dba Jorgensen Forge - Tukwila,1238
2012,"Bio Energy Washington, LLC - Maple Valley",13660
2016,Cathcart Landfill - Snohomish,6993
2014,Darigold - Chehalis,13643
2015,Sierra Pacific Industries - Centralia,40254
2020,Northwest Pipeline C/S - Snohomish,33754
2012,Ash Grove Cement Company - Seattle,305595
2013,Hampton Lumber Mills Washington Inc. - Darrington,96513
2017,Lamb Weston - Warden,18987
2021,"Rainier Veneer, Inc. - Spanaway",17170
2021,bp Cherry Point Refinery - Blaine,2066338
2013,Tree Top - Selah Campus,15638
2016,Guy Bennett Lumber Company - Clarkston,21698
2018,J.R. Simplot Company - Othello,99691
2018,Northwest Pipeline C/S - Chehalis,22586
2021,"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",110563
2020,Puget Sound Energy - Encogen Generating Station - Bellingham,178317
2021,Georgia-Pacific Consumer Operations LLC - Camas,51250
2016,The Boeing Company: Boeing Plant 2 - Seattle,20967
2014,"Interfor US, Inc. - Port Angeles",45263
2016,The Boeing Company - Renton,17578
2013,Great Western Malt - Vancouver,18365
2012,"Interfor US, Inc. - Forks",25268
2018,"WestRock CP, LLC - Tacoma",1104521
2014,Goodrich Corporation - Spokane,41089
2014,Riverside Feeders SFL - Kennewick,20360
2018,TransAlta Centralia Generation LLC - Centralia,6097084
2021,Okanogan County Central Landfill - Okanogan,16241
2017,River Road Generating Plant - Vancouver,495761
2015,HollyFrontier Puget Sound Refinery LLC - Anacortes,1946838
2014,"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",114924
2014,Phillips 66 Ferndale Refinery - Ferndale,770956
2014,Northwest Pipeline Roosevelt C/S - Bickleton,10856
2016,Puget Sound Energy LDC - statewide,58711
2016,H.W. Hill Landfill Gas Power Plant - Roosevelt,75654
2013,Cascade Natural Gas Corporation LDC - statewide,12940
2020,King County Solid Waste Cedar Hills Landfill - Maple Valley,131246
2014,Avista Corporation - WA State DOE Reporting - statewide,16420
2021,The Boeing Company - Renton,16267
2017,Imerys Minerals Quincy Plant - Quincy,21395
2021,Naval Base Kitsap - Bremerton,43005
2017,"Solvay Chemicals, Inc. - Longview",42958
2014,"Emerald City Renewables, LLC- Graham",22121
2019,Puget Sound Energy - Goldendale Generating Station - Goldendale,729130
2019,"Interfor US, Inc. - Port Angeles",41886
2016,"SGL Carbon, LLC - Moses Lake",6856
2021,"Nucor Steel Seattle, Inc, - Seattle",97512
2012,WestRock LLC - Longview,1672199
2014,Puget Sound Energy - Fredonia Generating Station - Mount Vernon,52555
2019,Northwest Pipeline Willard C/S - Cook,30842
2015,King County Solid Waste Cedar Hills Landfill - Maple Valley,74823
2012,Grays Harbor Energy Center - Elma,60590
2021,Puget Sound Energy - Whitehorn Generating Station - Blaine,13887
2012,"Tyson Fresh Meats, Inc. - Wallula",52155
2019,Seattle-Tacoma International Airport - Seattle,13610
2020,Sierra Pacific Industries - Centralia,45809
2013,Tree Top - Prosser,18658
2012,Lamb Weston - Richland,34603
2014,"Vaagen Bros. Lumber, Inc. - Colville",49542
2013,WaferTech LLC - Camas,140759
2018,Tree Top - Prosser,19342
2014,Terrace Heights Landfill - Yakima,107008
2019,"SGL Carbon, LLC - Moses Lake",12398
2021,Roosevelt Regional Landfill - Roosevelt,244655
2012,Puget Sound Energy - Sumas Generating Station - Sumas,106647
2013,J.R. Simplot Company - Moses Lake,36308
2016,Washington Potato Company - Warden,30289
2021,REC Solar Grade Silicon - Moses Lake,0
2015,Port Townsend Paper Corporation - Port Townsend,572560
2015,Ponderay Industries - Usk,44680
2012,Gas Transmission Northwest Compressor Station 8 - Wallula,87757
2018,Northwest Pipeline Willard C/S - Cook,14663
2021,Bonneville Power Administration - WA Only - statewide,11573
2018,Northwest Pipeline C/S - Goldendale,22441
2015,Lamb Weston - Pasco,48162
2015,Air Liquide Hydrogen Plant  - Anacortes,64385
2017,"Bio Energy Washington, LLC - Maple Valley",28310
2019,NW Natural - supplier,482497
2018,Hampton Lumber Mills Washington Inc. - Morton,36719
2021,The Boeing Company: Boeing Plant 2 - Seattle,20945
2013,Weyerhaeuser Raymond Lumber - Raymond,44919
2016,Seattle-Tacoma International Airport - Seattle,13890
2016,Alon Asphalt Company - Seattle,14096
2014,Matheson - Anacortes,53751
2020,Darling Ingredients Inc - Tacoma,9953
2018,Grant County Landfill 1 - Ephrata,47089
2020,Horn Rapids Sanitary Landfill - Richland,27329
2015,The Boeing Company - Auburn Site - Auburn,36058
2019,US Army Joint Base Lewis-McChord - Pierce Co.,74601
2012,Boeing Commercial Airplanes - Everett,71463
2016,Sonoco Products - Sumner,13941
2016,The Boeing Company: DC/MFC - Tukwila,14859
2018,Ascensus Specialties LLC - Elma,21916
2016,"Bio Energy Washington, LLC - Maple Valley",29128
2018,Darigold - Chehalis,11793
2018,Central Washington University - Ellensburg,13485
2021,Simplot Feeders LTD. - Burbank,39056
2013,Avista Corporation LDC - WA - statewide,15199
2015,CenTrio Energy Seattle LLC - Seattle,70984
2012,River Road Generating Plant - Vancouver,327201
2016,McCain Foods - Othello,67668
2014,Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,132071
2021,Puget Sound Energy - Ferndale Generating Station - Ferndale,637260
2015,Northwest Pipeline C/S - Sumas,109422
2021,SDS Lumber Company - Bingen,85956
2017,Chehalis Generation Facility - Chehalis,727165
2018,Inland Empire Paper Company - Spokane,28858
2015,Darigold - Sunnyside,21372
2019,McKinley Paper Co. - Washington Mill - Port Angeles,4044
2016,Cascade Natural Gas Corporation - supplier,1610254
2013,Graymont Western US. Inc. - Tacoma,92862
2016,Cosmo Specialty Fibers Inc - Cosmopolis,541028
2018,Northwest Pipeline C/S - Mount Vernon,56715
2020,Guy Bennett Lumber Company - Clarkston,14289
2017,Washington State University - Pullman,65446
2016,J.R. Simplot Company - Moses Lake,34811
2019,LRI Landfill - Graham,271964
2019,Ponderay Industries - Usk,43796
2014,Puget Sound Energy T&D - statewide,1664
2019,Sierra Pacific Industries - Burlington - Mount Vernon,307533
2019,"Emerald City Renewables, LLC- Graham",17639
2020,Packaging Corporation of America - Wallula,828596
2018,Tree Top - Selah Campus,19785
2017,Hampton Lumber Mills Washington Inc. - Darrington,87331
2016,Puget Sound Energy - Encogen Generating Station - Bellingham,103713
2016,REC Solar Grade Silicon - Moses Lake,59434
2019,James Hardie Building Products - Tacoma,15820
2019,University of Washington Seattle Campus - Seattle,92272
2021,Owens-Brockway Glass Container Inc Plant #2 - Kalama,26528
2021,Puget Sound Energy LDC - supplier,5603773
2017,Great Western Malt - Vancouver,17689
2020,Northwest Pipeline C/S - Sumner,9603
2014,REC Solar Grade Silicon - Moses Lake,120816
2017,Marathon Anacortes Refinery - Anacortes,1359656
2018,McCain Foods - Othello,61901
2021,Hidden Valley Landfill - Puyallup,5080
2021,J.R. Simplot Company - Moses Lake,32411
2012,Lamb Weston - Pasco,48326
2012,Northwest Hardwoods Inc. - Mount Vernon,12633
2013,Northwest Pipeline C/S - Snohomish,33173
2013,Northwest Pipeline C/S - Goldendale,35893
2021,Sierra Pacific Industries - Aberdeen,175707
2013,City of Tacoma Solid Waste Facility - Tacoma,26643
2016,Puget Sound Energy - Sumas Generating Station - Sumas,192574
2013,Fairchild AFB - Spokane Co.,16260
2019,Northwest Pipeline Plymouth C/S - Plymouth,10119
2014,Lamb Weston - Warden,17384
2014,University of Washington Seattle Campus - Seattle,82134
2021,Seattle-Tacoma International Airport - Seattle,14978
2013,Imerys Minerals Quincy Plant - Quincy,22556
2016,Frederickson Power LP - Tacoma,330385
2018,Graymont Western US. Inc. - Tacoma,22
2017,Puget Sound Energy - Whitehorn Generating Station - Blaine,67424
2021,Frederickson Power LP - Tacoma,493541
2018,Puget Sound Energy - Fredonia Generating Station - Mount Vernon,101465
2019,Riverside Feeders SFL - Kennewick,21162
2018,Naval Air Station Whidbey Island - Oak Harbor,14566
2014,Bonneville Power Administration - WA Only - statewide,12800
2017,"Tyson Fresh Meats, Inc. - Wallula",113369
2014,Alcoa Wenatchee Works - Malaga,354692
2016,Alcoa Wenatchee Works - Malaga,898
2016,Sierra Pacific Industries - Aberdeen,220243
2016,"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",53752
2015,Chehalis Generation Facility - Chehalis,445152
2012,Washington Potato Company - Warden,31804
2020,Alon Asphalt Company - Seattle,4270
2020,Nippon Dynawave - Longview,1532644
2019,"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",73603
2019,Lamb Weston - Richland,100713
2020,Cheyne Landfill - Zillah,42145
2019,Ardagh Glass Inc. - Seattle,62997
2014,Sierra Pacific Industries - Shelton,66658
2019,WestRock LLC - Longview,1555080
2012,Hampton Lumber Mills Washington Inc. - Randle,50381
2018,Boulder Park Generating Station - Spokane Valley,23325
2014,Kettle Falls Generating Station - Kettle Falls,375275
2013,City of Spokane Northside Landfill - Spokane,9883
2019,Air Liquide Hydrogen Plant  - Anacortes,66107
2015,Gas Transmission Northwest Compressor Station 6 - Rosalia,84805
2016,Steelscape - Kalama,25336
2013,Star Forge LLC dba Jorgensen Forge - Tukwila,16442
2017,"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",54397
2014,DH Feeders - Eltopia,14416
2017,Lamb Weston - Quincy,34928
2016,Horn Rapids Sanitary Landfill - Richland,26021
2019,Hidden Valley Landfill - Puyallup,7434
2015,Puget Sound Energy LDC - statewide,58610
2013,Naval Air Station Whidbey Island - Oak Harbor,16248
2021,Hampton Lumber Mills Washington Inc. - Darrington,82489
2021,Northwest Pipeline C/S - Chehalis,12660
2019,Northwest Pipeline Roosevelt C/S - Bickleton,35402
2014,Boulder Park Generating Station - Spokane Valley,7552
2014,Frederickson Power LP - Tacoma,271639
2014,NW Natural LDC - WA - statewide,7769
2019,Kettle Falls Generating Station - Kettle Falls,448360
2019,bp Cherry Point Refinery - Blaine,2190530
2013,"Emerald Kalama Chemical, LLC - Kalama",65708
2016,Lamb Weston - Quincy,40468
2014,Alcoa Intalco Works - Ferndale,1326684
2021,Terrace Heights Landfill - Yakima,125721
2019,Alon Asphalt Company - Seattle,13673
2017,Naval Base Kitsap Bangor - Silverdale,21860
2016,Puget Sound Energy - Mint Farm Generating Station - Longview,433451
2016,Marathon Anacortes Refinery - Anacortes,1359988
2020,City of Ellensburg LDC - supplier,26492
2020,Terrace Heights Landfill - Yakima,122903
2017,Lamb Weston - Richland,50397
2019,Northwest Hardwoods Inc. - Centralia,9349
2020,Naval Air Station Whidbey Island - Oak Harbor,14078
2016,Hampton Lumber Mills Washington Inc. - Randle,63442
2015,Lamb Weston - Connell,36801
2018,Hampton Lumber Mills Washington Inc. - Randle,61571
2018,City of Enumclaw Gas Utility - supplier,22964
2019,"Vaagen Bros. Lumber, Inc. - Colville",50941
2015,Northwest Pipeline C/S - Washougal,15534
2015,The Boeing Company - Fabrication (Frederickson Site) - Puyallup,20833
2014,Ardagh Glass Inc. - Seattle,78044
2016,Basic American Foods - Moses Lake,28977
2014,US Army Joint Base Lewis-McChord - Pierce Co.,83587
2015,Puget Sound Energy - Mint Farm Generating Station - Longview,685789
2015,City of Ellensburg LDC - supplier,24360
2015,Cascade Natural Gas Corporation - supplier,1560339
2016,"SEH America, Inc - Vancouver",8598
2016,Roosevelt Regional Landfill - Roosevelt,196768
2014,H.W. Hill Landfill Gas Power Plant - Roosevelt,86626
2021,Grays Harbor Energy Center - Elma,1367817
2012,U.S. Department of Energy Hanford Site - Richland,14865
2020,CertainTeed Gypsum - Seattle,49936
2019,Alcoa Intalco Works - Ferndale,1060051
2014,Fairchild AFB - Spokane Co.,12683
2013,"Interfor US, Inc. - Port Angeles",41397
2020,The Boeing Company: Boeing Plant 2 - Seattle,18834
2016,Ascensus Specialties LLC - Elma,20802
2020,"El Oro Cattle Feeders, LLC - Moses Lake",25506
2020,Puget Sound Energy - Sumas Generating Station - Sumas,226355
2017,U.S. Oil & Refining Co. - Tacoma,142341
2014,Air Liquide Hydrogen Plant  - Anacortes,64110
2016,Gas Transmission Northwest Compressor Station 6 - Rosalia,112620
2013,Northwest Pipeline C/S - Sumas,76727
2021,DH Feeders - Eltopia,6650
2019,"Analog Devices, Inc. - Camas",15185
2021,Hampton Lumber Mills Washington Inc. - Morton,33062
2018,Cosmo Specialty Fibers Inc - Cosmopolis,602496
2014,Sierra Pacific Industries - Aberdeen,253642
2013,Steelscape - Kalama,23551
2015,Simplot Feeders LTD. - Burbank,29065
2016,"Horse Heaven Cattle Feeders, Inc. - Sunnyside",10949
2021,Matheson - Anacortes,57526
2012,"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",41052
2017,Lamb Weston - Connell,35862
2013,Grant County Landfill 1 - Ephrata,38883
2013,Port Townsend Paper Corporation - Port Townsend,579487
2012,Puget Sound Energy - Goldendale Generating Station - Goldendale,325691
2019,SDS Lumber Company - Bingen,69304
2015,Sonoco Products - Sumner,11464
2014,"Analog Devices, Inc. - Camas",30092
2021,Gas Transmission Northwest Compressor Station 8 - Wallula,136751
2017,Puget Sound Energy - Frederickson Generating Station - Tacoma,44365
2020,Cowlitz County Tennant Way Landfill - Longview,16137
2015,Puget Sound Energy - Frederickson Generating Station - Tacoma,17052
2017,Central Washington University - Ellensburg,14479
2016,Northwest Pipeline C/S - Mount Vernon,69093
2018,McKinley Paper Co. - Washington Mill - Port Angeles,4189
2019,Boulder Park Generating Station - Spokane Valley,32387
2018,"SEH America, Inc - Vancouver",11291
2018,King County Solid Waste Cedar Hills Landfill - Maple Valley,68423
2016,Tree Top - Selah Campus,18185
2014,Northwest Pipeline C/S - Sumner,28561
2014,Roosevelt Regional Landfill - Roosevelt,243090
2015,Darigold - Lynden,21412
2019,Guy Bennett Lumber Company - Clarkston,15233
2021,Ash Grove Cement Company - Seattle,359054
2017,"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",70889
2021,J.R. Simplot Company - Othello,114828
2018,LRI Landfill - Graham,181556
2013,Northwest Pipeline Willard C/S - Cook,27866
2019,Horn Rapids Sanitary Landfill - Richland,24156
2014,REG Grays Harbor LLC - Hoquiam,11832
2015,bp Cherry Point Refinery - Blaine,1995759
2019,River Road Generating Plant - Vancouver,686739
2017,Northwest Pipeline C/S - Chehalis,17894
2017,"Emerald Kalama Chemical, LLC - Kalama",62518
2020,Bonneville Power Administration - WA Only - statewide,10395
2015,Naval Base Kitsap - Bremerton,42287
2021,Avista Corporation LDC - WA - statewide,16108
2016,"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",122424
2020,The Boeing Company - Fabrication (Frederickson Site) - Puyallup,16287
2015,Sierra Pacific Industries - Burlington - Mount Vernon,307168
2020,Cascade Natural Gas Corporation LDC - statewide,23564
2015,Cheyne Landfill - Zillah,34450
2018,Matheson - Anacortes,61179
2018,Puget Sound Energy - Jackson Prairie Gas Storage - Chehalis,12159
2018,Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,32498
2017,NW Natural LDC - WA - statewide,8183
2020,Fairchild AFB - Spokane Co.,13056
2016,Ash Grove Cement Company - Seattle,381581
2018,US Army Joint Base Lewis-McChord - Pierce Co.,84389
2013,Ponderay Industries - Usk,50424
2020,Lamb Weston - Quincy,32198
2016,Spokane Waste to Energy Facility - Spokane,238603
2016,DH Feeders - Eltopia,15384
2013,WestRock LLC - Longview,1729898
2014,"Nucor Steel Seattle, Inc, - Seattle",166109
2020,"Nucor Steel Seattle, Inc, - Seattle",83972
2016,U.S. Department of Energy Hanford Site - Richland,14174
2017,Weyerhaeuser Raymond Lumber - Raymond,48561
2021,Cathcart Landfill - Snohomish,5936
2016,WaferTech LLC - Camas,147211
2017,Darigold - Sunnyside,37986
2016,Gas Transmission Northwest Compressor Station 7 - Starbuck,19809
2021,Ascensus Specialties LLC - Elma,16735
2016,Hampton Lumber Mills Washington Inc. - Morton,30741
2019,Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,145245
2015,Puget Sound Energy - Whitehorn Generating Station - Blaine,37884
2016,CenTrio Energy Seattle LLC - Seattle,69965
2021,Lamb Weston - Quincy,35504
2013,Cowlitz County Headquarters Landfill - Castle Rock,129060
2014,Graymont Western US. Inc. - Tacoma,60625
2014,Northwest Hardwoods Inc. - Longview,14160
2014,Alon Asphalt Company - Seattle,16004
2021,"Interfor US, Inc. - Port Angeles",43617
2018,Phillips 66 Ferndale Refinery - Ferndale,798454
2015,Frito Lay - Vancouver,15923
2016,Avista Corporation - WA State DOE Reporting - statewide,21120
2021,"Horse Heaven Cattle Feeders, Inc. - Sunnyside",9395
2018,City of Tacoma Solid Waste Facility - Tacoma,12797
2013,Puget Sound Energy - Mint Farm Generating Station - Longview,633493
2012,Cheyne Landfill - Zillah,30500
2019,Cascade Natural Gas Corporation - supplier,1895222
2015,Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,31208
2014,Horn Rapids Sanitary Landfill - Richland,25582
2018,Steelscape - Kalama,24156
2021,The Boeing Company: DC/MFC - Tukwila,12319
2020,Sierra Pacific Industries - Shelton,86643
2017,"North Pacific Paper Company, LLC - Longview",34365
2014,"Rainier Veneer, Inc. - Spanaway",19578
2014,Northwest Hardwoods Inc. - Mount Vernon,12739
2012,Georgia-Pacific Gypsum LLC - Tacoma,42750
2015,Michelsen Packaging - Yakima,9296
2016,"El Oro Cattle Feeders, LLC - Moses Lake",23506
2015,Tree Top - Wenatchee,7806
2019,Goodrich Corporation - Spokane,52018
2015,Puget Sound Energy - Ferndale Generating Station - Ferndale,405726
2016,Inland Empire Paper Company - Spokane,29252
2012,LRI Landfill - Graham,4329
2012,Spectrum Glass Company - Woodinville,12025
2020,Darigold - Chehalis,12635
2012,"North Pacific Paper Company, LLC - Longview",43924
2016,Darling Ingredients Inc - Tacoma,10274
2021,Washington Potato Company - Warden,11509
2021,H.W. Hill Landfill Gas Power Plant - Roosevelt,1423
2014,Guy Bennett Lumber Company - Clarkston,11813
2020,Michelsen Packaging - Yakima,10532
2021,Avista Corporation - WA State DOE Reporting - statewide,8234
2014,"Horse Heaven Cattle Feeders, Inc. - Sunnyside",8463
2018,Cowlitz County Headquarters Landfill - Castle Rock,239496
2019,HollyFrontier Puget Sound Refinery LLC - Anacortes,1859842
2018,Boeing Commercial Airplanes - Everett,72308
2013,McKinley Paper Co. - Washington Mill - Port Angeles,121356
2014,Cascade Natural Gas Corporation LDC - statewide,13506
2016,Puget Sound Energy LDC - supplier,5086281
2020,Lamb Weston - Pasco,38996
2016,Imerys Minerals Quincy Plant - Quincy,18201
2019,Avista Corporation - supplier,1192594
2018,Georgia-Pacific Gypsum LLC - Tacoma,49065
2012,Nippon Dynawave - Longview,1637372
2014,King County Solid Waste Cedar Hills Landfill - Maple Valley,69056
2017,Grays Harbor Energy Center - Elma,1107991
2021,Ardagh Glass Inc. - Seattle,57881
2021,Central Washington University - Ellensburg,12824
2012,CertainTeed Gypsum - Seattle,35650
2018,"Solvay Chemicals, Inc. - Longview",50759
2014,Packaging Corporation of America - Wallula,889452
2012,Northwest Pipeline C/S - Chehalis,12757
2020,Puget Sound Energy - Whitehorn Generating Station - Blaine,4654
2021,Northwest Pipeline C/S - Washougal,13645
2021,Imerys Minerals Quincy Plant - Quincy,19975
2012,Northwest Pipeline C/S - Mount Vernon,27876
2017,Spectrum Glass Company - Woodinville,122
2020,Washington Potato Company - Warden,32015
2013,Marathon Anacortes Refinery - Anacortes,1177419
2012,Tree Top - Selah Campus,17458
2020,Northwest Pipeline C/S - Sumas,74143
2017,Owens-Brockway Glass Container Inc Plant #2 - Kalama,23955
2016,Sierra Pacific Industries - Centralia,42540
2017,J.R. Simplot Company - Othello,95215
2013,"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",71186
2016,Cardinal FG Company - Winlock,107246
2016,"Rainier Veneer, Inc. - Spanaway",17294
2013,Terrace Heights Landfill - Yakima,104727
2016,Avista Corporation LDC - WA - statewide,15513
2015,Cowlitz County Tennant Way Landfill - Longview,4533
2017,Gas Transmission Northwest Compressor Station 8 - Wallula,161512
2019,Northwest Pipeline C/S - Snohomish,25145
2016,Port Townsend Paper Corporation - Port Townsend,490011
2017,Puget Sound Energy - Goldendale Generating Station - Goldendale,415075
2019,Northwest Pipeline C/S - Goldendale,36931
